word,meaningZh,definition,example,category,level,notes,noun,verb,adjective,adverb,past,participle,ing,plural
assert,断言 / 明确表达,to state an idea clearly and confidently,The writer asserts that everyone deserves safety.,Writing,Useful,Essay analysis word,assertion,assert,assertive,assertively,asserted,asserted,asserting,assertions
imply,暗示,to suggest an idea without saying it directly,The final line implies that the speaker feels hopeful.,Writing,Essential,Reading inference word,implication,imply,implicit,implicitly,implied,implied,implying,implications
emphasise,强调,to give special importance to something,The speaker emphasises the need for change.,Writing,Essential,Australian spelling,emphasis,emphasise,emphatic,emphatically,emphasised,emphasised,emphasising,emphases
contradict,反驳 / 矛盾,to say or show the opposite of something,This evidence contradicts the first claim.,Writing,Important,Argument word,contradiction,contradict,contradictory,,contradicted,contradicted,contradicting,contradictions
contrast,对比,to compare things by showing differences,Contrast the two characters in your answer.,Writing,Essential,Exam command word,contrast,contrast,contrasting,,contrasted,contrasted,contrasting,contrasts
illustrate,说明 / 举例说明,to explain something with examples or pictures,The example illustrates the main idea clearly.,Writing,Useful,Good essay verb,illustration,illustrate,illustrative,,illustrated,illustrated,illustrating,illustrations
depict,描绘,to show or describe something,The poem depicts a quiet coastal town.,Writing,Useful,Literary analysis word,depiction,depict,depicted,,depicted,depicted,depicting,depictions
convey,传达,to communicate an idea or feeling,The author conveys sadness through imagery.,Writing,Essential,English analysis word,,convey,,,conveyed,conveyed,conveying,
establish,建立 / 确立,to create or set something up,The opening scene establishes the mood.,Writing,Useful,Analysis and school word,establishment,establish,established,,established,established,establishing,establishments
reinforce,加强,to make an idea stronger,The second quote reinforces the argument.,Writing,Useful,Essay word,reinforcement,reinforce,reinforced,,reinforced,reinforced,reinforcing,reinforcements
structure,结构,the way parts are arranged,The structure of the essay is clear.,Writing,Essential,Writing organisation word,structure,structure,structured,,structured,structured,structuring,structures
sequence,顺序,a set of events or steps in order,Put the events in the correct sequence.,Writing,Useful,Writing and maths word,sequence,sequence,sequential,sequentially,sequenced,sequenced,sequencing,sequences
viewpoint,观点,a person's way of thinking about something,The article presents a strong viewpoint.,Writing,Useful,Opinion word,viewpoint,,,,,,viewpoints
claim,主张 / 声称,a statement that may need evidence,Support your claim with a quote.,Writing,Essential,Essay argument word,claim,claim,,clearly,claimed,claimed,claiming,claims
counterargument,反方论点,an argument against another argument,Include a counterargument in your persuasive essay.,Writing,Important,Advanced essay word,counterargument,argue,argumentative,,argued,argued,arguing,counterarguments
logical,合逻辑的,making sense because ideas connect well,A logical paragraph is easy to follow.,Writing,Useful,Reasoning word,logic,,logical,logically,,,,
fluent,流利的 / 通顺的,smooth and easy to read or say,Her presentation was fluent and confident.,Writing,Useful,Speaking and writing word,fluency,,fluent,fluently,,,,
formal,正式的,suitable for serious school or work situations,Use formal language in an essay.,Writing,Essential,Register word,formality,formalise,formal,formally,formalised,formalised,formalising,
informal,非正式的,relaxed and casual in style,Text messages often use informal language.,Writing,Useful,Register word,informality,,informal,informally,,,,
register,语域 / 语言风格,the level of formality in language,Choose a register that suits the audience.,Writing,Important,Language analysis word,register,register,registered,,registered,registered,registering,registers
procedure,步骤 / 程序,a set of steps for doing something,Follow the procedure during the experiment.,Science,Essential,Practical science word,procedure,proceed,procedural,,proceeded,proceeded,proceeding,procedures
apparatus,实验器材,the equipment used for a science experiment,Set up the apparatus before recording results.,Science,Useful,Science practical word,apparatus,,,,,,apparatuses
control,控制变量 / 控制,to keep something the same in an experiment,Control the amount of water each plant receives.,Science,Important,Science method word,control,control,controlled,,controlled,controlled,controlling,controls
constant,常量 / 不变的,something that stays the same,Temperature was kept constant during the test.,Science,Important,Science and maths word,constant,,constant,constantly,,,constants
