word,meaningZh,definition,example,category,level,notes,noun,verb,adjective,adverb,past,participle,ing,plural
synthesise,综合 / 合成,to combine ideas or information into a clearer whole,In our essay we synthesise evidence from two sources.,Writing,Important,Essay and research word,synthesis,synthesise,synthetic,synthetically,synthesised,synthesised,synthesising,syntheses
evaluate,评价 / 评估,to judge the value or quality of something,Evaluate how effective the author's argument is.,Writing,Essential,Common exam verb,evaluation,evaluate,evaluative,,evaluated,evaluated,evaluating,evaluations
infer,推断,to work out an idea from clues in the text,We can infer that the character feels guilty.,Writing,Essential,Useful for reading comprehension,inference,infer,inferential,,inferred,inferred,inferring,inferences
interpret,解释 / 理解,to explain the meaning of something,Interpret the graph before writing your answer.,Writing,Essential,Used in English and humanities,interpretation,interpret,interpretive,,interpreted,interpreted,interpreting,interpretations
annotate,做批注,to add notes to a text while reading,Annotate the article before the class discussion.,Writing,Useful,Good study habit,annotation,annotate,annotated,,annotated,annotated,annotating,annotations
paraphrase,改述,to restate an idea using different words,Paraphrase the sentence instead of copying it.,Writing,Useful,Helps avoid plagiarism,paraphrase,paraphrase,paraphrased,,paraphrased,paraphrased,paraphrasing,paraphrases
elaborate,详细说明,to add more detail to an idea,Elaborate on your point with a clear example.,Writing,Useful,Good for improving paragraphs,elaboration,elaborate,elaborate,,elaborated,elaborated,elaborating,elaborations
persuade,说服,to make someone believe or do something,The speech tries to persuade students to volunteer.,Writing,Essential,Persuasive writing,persuasion,persuade,persuasive,persuasively,persuaded,persuaded,persuading,persuasions
narrative,叙事 / 故事,a story or account of events,The narrative is written from a child's point of view.,Writing,Useful,Common English term,narrative,narrate,narrative,,narrated,narrated,narrating,narratives
thesis,中心论点,the main argument in an essay,A strong thesis makes the essay easier to follow.,Writing,Important,Useful for essays,thesis,,,,,,theses
cohesive,连贯的,connected clearly and smoothly,Use linking words to make your paragraph cohesive.,Writing,Useful,Writing quality word,cohesion,,cohesive,cohesively,,,,
concise,简洁的,using few words but still clear,Keep your explanation concise and accurate.,Writing,Useful,Good for summaries,conciseness,,concise,concisely,,,,
relevant,相关的,connected to the topic or question,Choose evidence that is relevant to your argument.,Writing,Essential,Very useful school word,relevance,,relevant,relevantly,,,,
quote,引用,to repeat exact words from a text,Quote one sentence from the novel to support your point.,Writing,Essential,Essay evidence word,quotation,quote,quoted,,quoted,quoted,quoting,quotes
citation,引用标注,a note that shows where information came from,Add a citation after the borrowed idea.,Writing,Useful,Research skill,citation,cite,cited,,cited,cited,citing,citations
bibliography,参考书目,a list of sources used in a piece of work,Put the bibliography at the end of your report.,Writing,Useful,Assignment word,bibliography,,bibliographic,,,,"",bibliographies
introduction,引言 / 开头,the first part of a piece of writing,The introduction explains the main topic.,Writing,Essential,Essay structure,introduction,introduce,introductory,,introduced,introduced,introducing,introductions
paragraph,段落,a group of sentences about one main idea,Start a new paragraph when the idea changes.,Writing,Essential,Writing structure,paragraph,,,,,,paragraphs
vocabulary,词汇,the words used in a language or subject,Build your vocabulary by reading every day.,Writing,Essential,Your app topic,vocabulary,,,,,,vocabularies
context,上下文 / 背景,the situation around an idea or event,Use context to understand the meaning of the word.,Writing,Essential,Reading skill,context,contextualise,contextual,contextually,contextualised,contextualised,contextualising,contexts
theme,主题,a main idea in a text,Friendship is an important theme in the story.,Writing,Essential,Literature word,theme,,thematic,thematically,,,themes
characterisation,人物塑造,the way a writer creates a character,The characterisation shows that the hero is insecure.,Writing,Important,Australian spelling,characterisation,characterise,characteristic,,characterised,characterised,characterising,characterisations
